11,,0003927832200,,,,1,,,TIGERBALM,,,,WARM PATCH,,,,1.00,,,,EA,,,May  1 2016 1,,,5.05,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 3' 0.00"",    Height: 0' 5.50"",   Depth: 1' 3.00"",   Product: 2' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0065474936300,,,,1,,,AVALON ORGANICS,,,,ECZEMA THERAPY INTENSIVE CREAM,,,,3.00,,,,FOZ,,,,,,2.42,,,,,
2,,0065474936301,,,,1,,,AVALON ORGANICS,,,,ECZEMA RELIEF BODY CREAM,,,,10.00,,,,OZ,,,,,,3.62,,,,,
3,,0087553400222,,,,1,,,NATURAL VITALITY,,,,CREAM-NATURAL CALM,,,,4.00,,,,OZ,,,,,,2.83,,,,,
4,,0003098508700,,,,1,,,DERMA-E,,,,PSORZEMA CREME,,,,4.00,,,,OZ,,,May  1 2016 1,,,3.00,,,,,
5,,0030807850990,,,,1,,,BOERICKE & TAFEL,,,,PSORIAFLORA,,,,1.00,,,,OZ,,,May  1 2016 1,,,5.00,,,,,
6,,0030807850390,,,,1,,,BOERICKE & TAFEL,,,,FLORASONE ECZEMA CREAM,,,,1.00,,,,OZ,,,May  1 2016 1,,,4.97,,,,,
7,,0030807825290,,,,1,,,BOERICKE & TAFEL,,,,TRIFLORA GEL,,,,1.00,,,,OZ,,,May  1 2016 1,,,4.96,,,,,
8,,0063408423501,,,,1,,,BADGER BALM,,,,SORE JOINT RUB,,,,0.75,,,,OZ,,,May  1 2016 1,,,3.33,,,,,
9,,0063408413576,,,,1,,,BADGER BALM,,,,SORE MUSCLE RUB ORIGINAL,,,,2.00,,,,OZ,,,May  1 2016 1,,,2.75,,,,,
10,,0064084225500,,,,1,,,KUUMBA MADE,,,,SPRAIN & STRAIN RECOVERY,,,,1.00,,,,OZ,,,May  1 2016 1,,,2.15,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 3' 0.00"",    Height: 0' 6.50"",   Depth: 1' 3.00"",   Product: 2' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0030696203255,,,,1,,,BOIRON,,,,ARNICARE CREAM,,,,1.33,,,,OZ,,,May  1 2016 1,,,1.95,,,,,
2,,0030696203356,,,,1,,,BOIRON,,,,ARNICARE CREAM,,,,2.50,,,,OZ,,,May  1 2016 1,,,2.19,,,,,
3,,0030696051154,,,,1,,,BOIRON,,,,ARNICARE GEL,,,,1.50,,,,OZ,,,May  1 2016 1,,,1.95,,,,,
4,,0030696203559,,,,1,,,BOIRON,,,,ARNICARE GEL,,,,2.60,,,,OZ,,,May  1 2016 1,,,2.25,,,,,
5,,0064667062113,,,,1,,,SPROUTS,,,,ARNICA OIL,,,,1.00,,,,FOZ,,,May  1 2016 1,,,1.25,,,,,
6,,0001878750092,,,,1,,,DR BRONNERS,,,,ARNICA-MENTHOL MAGIC BALM,,,,2.00,,,,OZ,,,,,,2.75,,,,,
Positio,,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,,UOM,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0030807825090,,,,1,,,BOERICKE & TAFEL,,,,ARNIFLORA-ARNICA GEL,,,,1.00,,,,OZ,,,May  1 2016 1,,,5.00,,,,,
8,,0030807825097,,,,1,,,BOERICKE & TAFEL,,,,ARNIFLORA-ARNICA GEL,,,,2.75,,,,OZ,,,May  1 2016 1,,,6.30,,,,,
9,,0035497330851,,,,1,,,HYLANDS,,,,MUSCLE THERAPY GEL WITH ARNICA,,,,3.00,,,,OZ,,,Jun 12 2016 1,,,2.25,,,,,
10,,0035795540003,,,,1,,,KING BIO,,,,SOOTHING ADVANCED ARNICA,,,,3.00,,,,OZ,,,May  1 2016 1,,,2.03,,,,,
11,,0036311313196,,,,1,,,LIDDELL,,,,BPS BACK PAIN + SCIATICA,,,,1.00,,,,OZ,,,May  1 2016 1,,,2.00,,,,,
12,,0081265901143,,,,1,,,SOOTHING TOUCH,,,,NARAYAN GEL-EXTRA STRENGTH,,,,2.00,,,,FOZ,,,May  1 2016 1,,,2.21,,,,,
13,,0060850304023,,,,1,,,ALLTERRAIN,,,,RECOVERY RUB WITH MENTHOL,,,,3.00,,,,FOZ,,,May  1 2016 1,,,2.48,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 3' 0.00"",    Height: 0' 6.50"",   Depth: 1' 3.00"",   Product: 2' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0030696110554,,,,1,,,BOIRON,,,,CALENDULA GEL,,,,1.50,,,,OZ,,,May  1 2016 1,,,1.95,,,,,
2,,0030696204659,,,,1,,,BOIRON,,,,CALENDULA GEL,,,,2.60,,,,OZ,,,May  1 2016 1,,,2.25,,,,,
3,,0030696205250,,,,1,,,BOIRON,,,,CALENDULA OINTMENT,,,,1.00,,,,OZ,,,May  1 2016 1,,,1.95,,,,,
4,,0030696204356,,,,1,,,BOIRON,,,,CALENDULA CREAM,,,,2.50,,,,OZ,,,May  1 2016 1,,,2.25,,,,,
5,,0060986389552,,,,1,,,MY PAIN AWAY,,,,AFTER BURN CREAM,,,,6.00,,,,OZ,,,,,,3.04,,,,,
6,,0060986378652,,,,1,,,MY PAIN AWAY,,,,FIBRO CREAM,,,,3.00,,,,OZ,,,,,,2.30,,,,,
7,,0081543900301,,,,1,,,FRANKINCENSE & MYRRH,,,,NEUROPATHY RUBBING OIL,,,,2.00,,,,FOZ,,,May  1 2016 1,,,4.45,,,,,
8,,0060986304704,,,,2,,,TOPRICIN,,,,TOPRICIN,,,,4.00,,,,OZ,,,May  1 2016 1,,,3.00,,,,,
9,,0060986302002,,,,1,,,TOPRICIN,,,,TOPRICIN,,,,2.00,,,,OZ,,,May  1 2016 1,,,6.00,,,,,
10,,0060986303434,,,,1,,,TOPRICIN,,,,CREAM-PAIN RELIEF & HEALING,,,,0.75,,,,OZ,,,May  1 2016 1,,,4.50,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 3' 0.00"",    Height: 0' 5.50"",   Depth: 1' 3.00"",   Product: 2' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0003098500520,,,,1,,,DERMA-E,,,,VITAMIN E OIL 14000 IU,,,,2.00,,,,FOZ,,,May  1 2016 1,,,1.49,,,,,
2,,0007834777438,,,,1,,,NATURE'S GATE,,,,VITAMIN E OIL 32000 IU ROLL,,,,1.10,,,,FOZ,,,May  1 2016 1,,,1.61,,,,,
3,,0007834777440,,,,1,,,NATURE'S GATE,,,,VITAMIN E OIL-40000 IU,,,,2.00,,,,FOZ,,,May  1 2016 1,,,1.63,,,,,
4,,0007679101001,,,,1,,,HOBE LABS,,,,OIL-VITAMIN E,,,,2.00,,,,FOZ,,,May  1 2016 1,,,2.00,,,,,
5,,0007852204031,,,,1,,,JASON,,,,VITAMIN E OIL 45000 IU,,,,2.00,,,,FOZ,,,Jun 12 2016 1,,,1.40,,,,,
6,,0007852205001,,,,1,,,JASON,,,,VITAMIN E OIL 5000 IU,,,,4.00,,,,FOZ,,,May  1 2016 1,,,1.65,,,,,
7,,0007852204012,,,,1,,,JASON,,,,VITAMIN E CREME-25000 IU,,,,4.00,,,,OZ,,,May  1 2016 1,,,2.90,,,,,
8,,0060850306002,,,,1,,,ALLTERRAIN,,,,DITCH THE ITCH BAR,,,,4.00,,,,OZ,,,May  1 2016 1,,,3.40,,,,,
9,,0060850305042,,,,1,,,ALLTERRAIN,,,,ANTI ITCH CREAM-DITCH THE ITCH,,,,2.00,,,,FOZ,,,May  1 2016 1,,,2.30,,,,,
10,,0030807825390,,,,1,,,BOERICKE & TAFEL,,,,SSSSTINGSTOP INSECT BITE GEL,,,,1.00,,,,OZ,,,Jun 12 2016 1,,,4.95,,,,,
11,,0060986360020,,,,1,,,TOPRICIN,,,,TOPRICIN FOOT THERAPY CREAM,,,,2.00,,,,OZ,,,May  1 2016 1,,,6.00,,,,,
12,,0083074300905,,,,1,,,FORCES OF NATURE,,,,NAIL FUNGUS CONTROL-ORG,,,,11.00,,,,ML,,,May  1 2016 1,,,2.55,,,,,
13,,0083578700064,,,,1,,,NATRALIA,,,,ANTI FUNGAL LIQUID,,,,1.00,,,,FOZ,,,May  1 2016 1,,,1.60,,,,,
Positio,,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,,UOM,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14
Totals:",,,,0004698501802,,,,"1
--------------- 14",,,QUANTUM,,ATHLETES FOOT CURE,,,0.75            OZ,,,,,,,,,May  1 2016 1,,,,,1.70,,
"Shelf: 6,   Length: 3' 0.00"",    Height: 0' 5.50"",   Depth: 1' 3.00"",   Product: 2' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0000068000001,,,,1,,,DESERT ESSENCE,,,,OIL-TEA TREE,,,,1.00,,,,OZ,,,,,,1.60,,,,,
2,,0071833422027,,,,1,,,DESERT ESSENCE,,,,OIL-TEA TREE,,,,2.00,,,,OZ,,,,,,2.05,,,,,
3,,0063779210015,,,,1,,,TEA TREE THERAPY,,,,OIL-TEA TREE,,,,0.50,,,,OZ,,,May  1 2016 1,,,1.15,,,,,
4,,0063779210030,,,,1,,,TEA TREE THERAPY,,,,OIL-TEA TREE,,,,1.00,,,,OZ,,,May  1 2016 1,,,1.30,,,,,
5,,0063779212260,,,,1,,,TEA TREE THERAPY,,,,OIL-TEA TREE,,,,2.00,,,,OZ,,,May  1 2016 1,,,1.55,,,,,
6,,0063779210060,,,,1,,,TEA TREE THERAPY,,,,OIL-TEA TREE-PURE,,,,2.00,,,,OZ,,,May  1 2016 1,,,1.60,,,,,
7,,0063779270120,,,,1,,,TEA TREE THERAPY,,,,CREAM-ANTISEPTIC,,,,4.00,,,,OZ,,,May  1 2016 1,,,1.95,,,,,
8,,0063779270050,,,,1,,,TEA TREE THERAPY,,,,OINTMENT-ANITSEPTIC-TEA TREE,,,,2.00,,,,OZ,,,May  1 2016 1,,,2.15,,,,,
9,,0003098509125,,,,1,,,DERMA-E,,,,ANTISEPTIC CREME-TEA TREE AND E,,,,4.00,,,,OZ,,,May  1 2016 1,,,2.85,,,,,
10,,0003098508803,,,,1,,,DERMA-E,,,,SKIN TREATMENT-SKINBIOTICS-CREAM,,,,4.00,,,,OZ,,,May  1 2016 1,,,3.00,,,,,
11,,0007697088181,,,,1,,,EMUGOLD,,,,EMU OIL ULTRA ACTIVE,,,,1.00,,,,FOZ,,,May  1 2016 1,,,1.50,,,,,
12,,0066618300003,,,,1,,,THERANEEM,,,,NEEM OIL-SKIN SOOTHING,,,,1.00,,,,OZ,,,May  1 2016 1,,,1.30,,,,,
13,,0066618366772,,,,1,,,THERANEEM,,,,OIL-AFRICAN NEEM,,,,1.60,,,,FOZ,,,May  1 2016 1,,,1.80,,,,,
14,,0066618300015,,,,1,,,THERANEEM,,,,LEAF AND OIL CREAM-VANILLA,,,,2.00,,,,OZ,,,May  1 2016 1,,,2.35,,,,,
15,,0078664808013,,,,1,,,NEEM AURA NATURALS,,,,SKIN SALVE,,,,1.00,,,,OZ,,,May  1 2016 1,,,2.05,,,,,
16,,0001878711111,,,,1,,,DR BRONNERS,,,,ORG LAVENDER HAND SANITIZER SPRAY,,,,2.00,,,,FOZ,,,Jul 17 2016 1,,,1.25,,,,,
17,,0063687422046,,,,1,,,EVERYONE,,,,HAND SANITIZER GEL-COCONUT & LEMON,,,,2.00,,,,FOZ,,,Jul 17 2016 1,,,1.40,,,,,
18,,0063687422047,,,,1,,,EVERYONE,,,,HAND SANITIZER GEL-PEPPRMINT & CITRS,,,,2.00,,,,FOZ,,,Jul 17 2016 1,,,1.40,,,,,
19,,0089348100113,,,,1,,,CLEAN WELL,,,,HAND SANITIZER-SPRAY,,,,1.00,,,,FOZ,,,Jul 17 2016 1,,,1.45,,,,,
20,,0089348100145,,,,1,,,CLEAN WELL,,,,HAND SANITIZER-ORANGE VANILLA,,,,1.00,,,,FOZ,,,Jul 17 2016 1,,,1.45,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 3' 0.00"",    Height: 0' 5.50"",   Depth: 1' 3.00"",   Product: 2' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0009471764611,,,,1,,,KT TAPE,,,,SPORTS TAPE-BEIGE,,,,14.00,,,,CNT,,,May  1 2016 1,,,3.05,,,,,
2,,0009471764608,,,,1,,,KT TAPE,,,,SPORTS TAPE-BLACK,,,,14.00,,,,CNT,,,May  1 2016 1,,,3.05,,,,,
3,,0079285077599,,,,1,,,BURTS BEES,,,,OINTMENT-RES Q,,,,0.60,,,,OZ,,,May  1 2016 1,,,1.90,,,,,
4,,0083106000241,,,,1,,,ASAP365,,,,SILVER GEL,,,,1.50,,,,FOZ,,,May  1 2016 1,,,1.50,,,,,
5,,0061340591467,,,,1,,,NATURAL PATH/SILVER WINGS,,,,SILVER HERBAL OINTMENT,,,,1.50,,,,OZ,,,May  1 2016 1,,,2.22,,,,,
6,,0068408850001,,,,2,,,SOVEREIGN SILVER,,,,SILVER FIRST AID GEL,,,,1.00,,,,OZ,,,May  1 2016 1,,,1.38,,,,,
7,,0063408413300,,,,1,,,BADGER BALM,,,,TATTOO BALM,,,,2.00,,,,OZ,,,,,,2.90,,,,,
8,,0068907640449,,,,1,,,ALL GOOD PRODUCTS,,,,HANDCRAFTED HEALING BOMB GOOP,,,,2.00,,,,OZ,,,,,,2.20,,,,,
9,,0073621156898,,,,1,,,MEDICINE MAMA'S,,,,SWEET BEE MAGIC HEALING SKIN CREAM,,,,2.00,,,,OZ,,,May  1 2016 1,,,2.38,,,,,
Positio,,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,,UOM,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0064084220472,,,,1,,,KUUMBA MADE,,,,HERBAL HEALING SALVE,,,,1.00,,,,OZ,,,May  1 2016 1,,,2.15,,,,,
11,,0064084225400,,,,1,,,KUUMBA MADE,,,,SCAR REPAIR SALVE,,,,1.00,,,,OZ,,,May  1 2016 1,,,2.15,,,,,
12,,0018713200290,,,,1,,,ALAFFIA,,,,CREAM-SKIN-AFFRICAS SECRET,,,,2.00,,,,OZ,,,Jun 12 2016 1,,,2.51,,,,,
13,,0003098508100,,,,1,,,DERMA-E,,,,SCAR GEL,,,,2.00,,,,OZ,,,May  1 2016 1,,,2.45,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 3' 0.00"",    Height: 1' 1.00"",   Depth: 1' 3.00"",   Product: 2' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0035497342024,,,,1,,,SMILES PRID,,,,DRAWING SALVE,,,,18.00,,,,GM,,,May  1 2016 1,,,2.13,,,,,
2,,0060850305013,,,,1,,,ALLTERRAIN,,,,ANTIBIOTIC GEL,,,,0.50,,,,FOZ,,,,,,4.10,,,,,
3,,0060850305011,,,,1,,,ALLTERRAIN,,,,ANTISEPTIC GEL-ANTISEPTZ,,,,0.50,,,,FOZ,,,May  1 2016 1,,,4.10,,,,,
4,,0060850305002,,,,1,,,ALLTERRAIN,,,,BANDAGES-NEON KIDS,,,,20.00,,,,CNT,,,May  1 2016 1,,,2.95,,,,,
5,,0060850305003,,,,1,,,ALLTERRAIN,,,,BANDAGES-FABRIC,,,,30.00,,,,CNT,,,May  1 2016 1,,,2.80,,,,,
6,,0060850305004,,,,1,,,ALLTERRAIN,,,,SHEER BANDAGES LATEX FREE,,,,40.00,,,,CNT,,,May  1 2016 1,,,2.80,,,,,
7,,0060850305009,,,,1,,,ALLTERRAIN,,,,TENDER TAPE-LATEX FREE,,,,1.00,,,,EA,,,May  1 2016 1,,,4.00,,,,,
8,,0079357352749,,,,2,,,ESSENTIAL OXYGEN,,,,FOOD GRADE HYDROGEN PEROXIDE 3% USP,,,,8.00,,,,FOZ,,,May  1 2016 1,,,2.00,,,,,
9,,0079357352750,,,,1,,,ESSENTIAL OXYGEN,,,,HYDROGEN PEROXIDE-FOOD GRADE-3%,,,,16.00,,,,FOZ,,,May  1 2016 1,,,2.45,,,,,
10,,0085758400505,,,,1,,,ESSENTIAL OXYGEN,,,,HYDROGEN PEROXIDE,,,,32.00,,,,FOZ,,,May  1 2016 1,,,3.60,,,,,
11,,0066365486292,,,,1,,,CLEAR CONSCIENCE,,,,MULTI PURPOSE SOLUTION,,,,12.00,,,,FOZ,,,May  1 2016 1,,,2.65,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
